"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","IP","W%","QS","BS","WP","HB","IBB","1B","2B","3B","HR","HR/9","K/9","BB/9","BR/9","BAA"
"Max Scherzer","WSH","SP","1","BART","36","","449.17","13.61","33","220.2",".720","28","0","4","12","3","86","36","5","23","0.94","12.24","2.08","8.69",".188"
"Justin Verlander","HOU","SP","2","Luka","37","","420.5","12.37","34","214",".640","26","0","5","8","0","92","31","5","28","1.18","12.20","1.56","8.45",".200"
"Jacob deGrom","NYM","SP","3","NT 4","32","","413","12.91","32","217",".526","28","0","2","5","3","112","27","3","10","0.41","11.16","1.91","8.42",".196"
"Gerrit Cole","NYY","SP","4","ZL","30","","371.33","11.6","32","200.1",".750","20","0","9","7","0","86","36","2","19","0.85","12.40","2.88","9.61",".198"
"Blake Snell","TB","SP","5","NT 13","28","","361.17","11.65","31","180.2",".808","19","0","13","1","2","68","27","1","16","0.80","11.01","3.19","8.82",".178"
"Aaron Nola","PHI","SP","6","NCNF","27","","353.33","10.71","33","212.1",".739","25","0","4","7","3","99","31","2","17","0.72","9.49","2.46","9.07",".197"
"Corey Kluber","TEX","SP","7","NCNF","34","","350.5","10.62","33","215",".741","25","0","2","3","0","118","32","4","25","1.05","9.29","1.42","9.04",".223"
"Chris Sale","BOS","SP","8","ZL","31","","339.5","12.57","27","158",".750","17","0","4","14","0","66","22","3","11","0.63","13.50","1.94","8.54",".181"
"Trevor Bauer","(N/A)","SP","9","Luka","29","","312.83","11.17","28","175.1",".667","20","0","12","9","2","93","30","2","9","0.46","11.34","2.93","10.27",".208"
"Patrick Corbin","WSH","SP","10","NCNF","31","","310.5","9.41","33","200",".611","19","0","8","5","3","104","43","0","15","0.68","11.07","2.16","9.68",".218"
"Edwin Diaz","NYM","RP","11","BFT","26","","288.33","3.95","73","73.1",".000","0","4","3","6","0","31","4","1","5","0.61","15.22","2.09","7.85",".160"
"Carlos Carrasco","CLE","SP","12","Nunez","33","","288","9","32","192",".630","19","0","9","6","4","115","31","6","21","0.98","10.83","2.02","10.41",".238"
"Luis Severino","NYY","SP","13","VP","26","","283.33","8.85","32","191.1",".704","17","0","8","5","0","112","39","3","19","0.89","10.35","2.16","10.54",".238"
"Mike Clevinger","SD","SP","14","NT 13","29","","275","8.59","32","200",".619","21","0","4","4","0","104","36","3","21","0.94","9.31","3.02","10.57",".223"
"Charlie Morton","ATL","SP","15","Ass","37","","266","8.87","30","167",".833","18","0","4","16","0","82","27","3","18","0.97","10.83","3.45","11.32",".213"
"James Paxton","(N/A)","SP","16","ZL","32","","262.33","9.37","28","160.1",".647","15","0","8","1","0","85","24","2","23","1.29","11.68","2.36","9.94",".224"
"Blake Treinen","LAD","RP","17","FA","32","","255.83","3.76","68","80.1",".818","0","5","6","1","3","38","6","0","2","0.22","11.20","2.35","7.62",".158"
"Zack Greinke","HOU","SP","18","Ass","37","","255.67","7.75","33","207.2",".577","21","0","4","6","3","114","37","2","28","1.21","8.62","1.86","9.97",".231"
"Kyle Freeland","COL","SP","19","MSBC","27","","252.33","7.65","33","202.1",".708","24","0","2","6","2","133","26","6","17","0.76","7.70","3.11","11.48",".240"
"Mike Foltynewicz","ATL","SP","20","FA","29","","252","8.13","31","183",".565","12","0","7","6","3","83","25","5","17","0.84","9.93","3.34","10.03",".195"
"Miles Mikolas","STL","SP","21","CP DLT","32","","251.17","7.85","32","200.2",".818","20","0","2","7","4","142","24","4","16","0.72","6.55","1.30","9.96",".245"
